country,country_import_rank,trade_value_usd_thousand,priority_tier,company_name,rank_in_country,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Canada,11,82583.89,Tier 1,Fresh Taste Produce Limited,1,"fresh garlic; peeled garlic; white garlic; HS 070320",importer/processor/distributor,https://freshtasteproduce.com/,416-255-0157,sales@freshtasteproduce.com,Nelson D'Costa,"11450 Steeles Ave, Halton Hills, ON L7G 4S6, Canada",https://www.trademo.com/companies/fresh-taste-produce-canada/4043844,official website + public trade database,"Official Fresh Taste pages validate a produce importer, processor, packer and distributor sourcing fresh produce from 35+ countries, with worldwide grower partnerships, in-house packaging/processing, distribution/logistics and public Canada phone/email. Public Trademo company profile lists 601 import shipments from Jan 2022 to Sept 2025, USD 17.17M buyer trade value and white garlic among primary imports. Public Trademo peeled-garlic Canada page ranks Fresh Taste first with 72 shipments, and the Shandong Sinofarm supplier profile shows Fresh Taste as a buyer with HS 070320 peeled garlic/fresh garlic shipment examples at 26,300 kg. Keep Fresh Taste as Canada's top FCL route for peeled/fresh-garlic validation, but paid customs should confirm current HS 070320 beneficial ownership, import address and procurement desk because official product pages do not list garlic directly."
Colombia,12,73159.96,Tier 1,Global Garlic S.A.S.,1,"fresh garlic; garlic importation; garlic distribution; container logistics",garlic importer/distributor/wholesaler/logistics operator,https://globalgarlic.com.co/,"(+57) 315 489 4078 / (+57) 311 770 6130",info@globalgarlic.com.co,,"Central Mayorista, Bloque 2, Local 21, Itagui, Colombia",https://globalgarlic.com.co/,official website + public trade database caveat,"Official Global Garlic pages describe the company as a pioneer in garlic importation, distribution and commercialization in Colombia, focused specifically on garlic, with constant supply, national reach, Cartagena logistics/warehouse activity, 11 company warehouses totaling 12,996 covered square meters, reach stacker, forklifts, container storage and public email/phone/contact details. Promoted to Colombia rank 1 because it is the strongest official fresh whole garlic importer/distributor route. Public Volza whole-fresh garlic data instead names Importadora La Gran Cosecha, Distriajos El Rey and Distributions The King as the visible shipment leaders, so use paid customs to validate beneficial HS 070320 ownership before quoting FCL volume."
Japan,13,68596.78,Tier 1,Sojitz Foods Corporation,1,"garlic buyer signal; garlic powder; fresh vegetables; frozen vegetables; foodservice logistics",importer/trading house/wholesaler/foodservice logistics,https://www.sofco.sojitz.com/en/,81-3-5574-3300,tashiro.yasuhiro@sojitz-foods.com,,"16F Roppongi T-Cube, 3-1-1 Roppongi, Minato-ku, Tokyo 106-0032, Japan",https://www.sofco.sojitz.com/en/business/product/,official website + public buyer directory,"Official Sojitz Foods product and business pages validate a food-focused trading company handling raw to processed food items, processed and raw agricultural items including fresh vegetables and fruit and frozen vegetables, grocery and private-label products including garlic powder, and food import/wholesale logistics for supermarkets, restaurant chains and foodservice operators. Official corporate profile lists import/export and domestic sales of agricultural, livestock and fishery raw materials, processed food products and other foodstuffs, 144.9 billion yen FY2025 nonconsolidated annual sales, 312 employees as of 2026-04-01, the Tokyo address and head-office phone. The Trademo Japan garlic buyer table lists Sojitz Foods Corporation as the No. 1 public garlic buyer signal with 121 shipments; the existing named email remains from the prior Greek government business directory rather than the official Sojitz site. Use paid customs or direct confirmation before treating Sojitz as the beneficial importer for fresh whole or peeled garlic FCL quotes."
Saudi Arabia,14,65674.37,Tier 1,Lulu Saudi Hypermarket LLC,1,"fresh whole garlic; peeled garlic; minced garlic; garlic paste; garlic powder; public garlic buyer evidence",retailer/importer/hypermarket,https://gcc.luluhypermarket.com/en-sa/,8001000330,,,"Regional Office Western Province, Near Buraiman Bridge, PO Box 51781, Al Marwa, Jeddah 21553, Saudi Arabia",https://gcc.luluhypermarket.com/en-sa/contactus/,official website + public buyer directory,"Official Lulu Saudi contact and product pages validate Saudi phone/WhatsApp 8001000330, Western/Eastern/Central regional office listings, VAT 300060864110003, SFDA WL-2020-FO-0425, CR 1010227701 and import license IVF-172-21. Official KSA product pages list China-origin fresh garlic, China/Egypt/Bahrain-origin peeled garlic, minced garlic, LuLu garlic paste and LuLu garlic powder. Official LuLu Retail pages describe large GCC retail scale, including 30 Saudi hypermarkets, 22 KSA Express stores, 13 KSA mini markets, five KSA central kitchens and global sourcing operations as of FY2025. Public Trademo Saudi garlic buyer data currently lists lulu saudi hypermarkets llc as the top Saudi garlic buyer signal with 1,342 shipments; Volza's fresh-garlic buyer view separately lists Lulu Saudi Hypermarket LLC with 971 fresh-garlic shipments, and the broader garlic/garlic view lists LuLu Saudi Hypermarket LLC with 1,705 shipments plus LuLu Saudi Hypermarkets LLC with 112 shipments. Email links on official Lulu pages are Cloudflare-protected in the public HTML view, so the email field is intentionally left blank pending direct confirmation."
Pakistan,15,63478.77,Tier 1,Mehr Trading Company,1,"fresh garlic; Chinese garlic; fresh ginger; import and supply",importer/distributor/wholesale supplier,https://mehragri.pk/,+92 321 2978963,info@mehragri.pk,,"Suite No.108, 1st Floor, Queens Centre, M.T. Khan Road, Karachi, Sindh, Pakistan",https://mehragri.pk/services/,official website + public trade database caveat,"Official Mehr pages describe import and supply of fresh garlic and ginger, one of Pakistan's largest importers and suppliers of Chinese ginger and garlic, nationwide delivery to Karachi, Lahore, Okara, Faisalabad, Punjab and Sindh, and public head-office phone/email/address. Public Volza Pakistan garlic buyer data instead identifies AAG Impex, Ayaan Enterprises, Chairman and Sons and Crown International Trading Establishment as stronger visible fresh-garlic shipment names, with AAG at 205 garlic imports and Crown at 153 garlic imports. Keep Mehr as Pakistan's cleanest contact-ready official fresh-garlic route, but validate HS 070320 beneficial importer ownership against the public shipment leaders before quoting FCL volume."
Mexico,16,60704.65,Tier 1,Productos Agroindustriales de San Luis S.A. de C.V. (PROAGSA),1,"fresh garlic; Ajo San Luis; Ajo Argentino; Ajo Chileno; HS 07032002",shipment-backed garlic importer/wholesaler,https://www.proagsa.com.mx/,33 3671 0945,alara@proagsa.com.mx,,"C. 6 2596, Comercial Abastos, Guadalajara, Jalisco 44530, Mexico",https://www.proagsa.com.mx/list.pdf,official product PDF + public trade database + public directory,"Volza Mexico garlic-fresh buyer data ranks Productos Agroindustriales de San Luis first with 325 garlic-fresh import shipments, 17 suppliers and recent 23,000 kg / 1,420 kg fresh garlic imports. Official PROAGSA PDF lists AJOS including Ajo San Luis sizes #5-#11 in 14 kg, Ajo Argentino sizes #5-#7 in 10 kg, Ajo Chileno sizes #6-#10 in 10 kg and Ajo Agroser. Public Guadalajara directory pages list phone 33 3671 0945, alara@proagsa.com.mx and the Comercial Abastos address. Best current Mexico import-buyer/FCL route; validate beneficial HS 07032002 ownership and procurement desk through paid customs before quoting."
Sri Lanka,17,59717.61,Tier 1,Devi Trading Company,1,"fresh garlic; garlic importation; agro-food products",importer/distributor/wholesaler,https://www.devitrading.com/,+94 112335124 / +94 112320314 / +94 112437453,info@devitrading.com; devi@slt.lk; devi@devitrading.com; devispice@devitrading.com,Devi Vengadasalam,"100 - 102 Reclamation Road, Colombo 11; sales office 125 Bankshall Street, Colombo 11, Sri Lanka",https://devitrading.com/imports/agro-food-products/garlic,official website + public trade database caveat,"Official Devi Trading garlic and agro-food pages describe the company as one of Sri Lanka's leading garlic importers, with China and Hong Kong offices, direct plantation sourcing, quality-control inspection, agro-food sourcing from India, China, Thailand, Pakistan, Romania and Holland, imports including garlic, onions, sago and fresh ginger, fully owned sales outlets for domestic trade, international trade history since 1971 and direct Colombo office/sales contacts. CDA exporter-registration data adds Devi Vengadasalam and a public devitrading.com email. Keep Devi as Sri Lanka's strongest contact-ready official route, but public Trademo/Volza garlic tables point to F S Traders, Global Trading & Company, Ranjitha Foods, Midcity and Lal & Sons as shipment-count targets, so use paid customs before quoting FCL volume."
Morocco,18,55387.25,Tier 1,Graineo,1,"fresh garlic; bulk garlic; packaged garlic; garlic importation",importer/distributor/wholesaler,https://graineo.ma/,+212 6 61 46 58 62,contact@graineo.ma,,"Zone Industrielle No. 44 Route de Tit Mellil, Casablanca, Morocco",https://graineo.ma/service/garlic/,official website + public trade database caveat,"Official Graineo pages validate a Casablanca-based importer/exporter and distributor of cereals, legumes, nuts and garlic, supplying high-quality garlic to food processors, retailers, bulk importers, professionals and large-scale retailers. The official garlic page says Graineo manages import, inspection and distribution of garlic in bulk and packaged formats, with certified suppliers/farms, shipment quality inspection, mesh bags, cartons, custom packaging and delivery. Keep Graineo as Morocco's strongest contact-ready official garlic route, but CIC/TradeDataPro sample HS 070320 import records identify Garland/Garland Maroc, Amghar Agro, BHZ Trading and Baharate Elallali as fresh/chilled garlic shipment names, so use paid customs before quoting FCL volume."
Australia,19,48201.33,Tier 1,Indya Foods Pty Ltd,1,"dehydrated/onion/garlic; pickle garlic; ginger garlic; garlic powder; frozen foods",importer/wholesaler/distributor,https://www.indyafoods.com.au/,03-9793-5373,indyafoods@indyafoods.com.au,,"51-55 Smeaton Avenue, Dandenong South VIC 3175, Australia",https://www.volza.com/p/dehydrated-or-onion-or-garlic/buyers/buyers-in-australia/,official website + public trade database caveat,"Official Indya pages validate one of Australia's large importers, wholesalers and distributors for Indian and multicultural foods, 3550+ retail shops, 1200+ active distributors, 5000+ products, national wholesale offices, frozen foods and public Melbourne/Sydney/Brisbane/Adelaide/Perth contacts. Volza public Australia dehydrated/onion/garlic page ranks Indya second with 507 shipments and also surfaces pickle garlic, ginger garlic and garlic-powder import signals; Trademo profiles show 17,782-20,264 import shipments and primary products such as pickle/snack/organic. Keep Indya as Australia's top contact-ready processed-garlic/import-distribution route, but do not treat it as confirmed fresh whole HS 070320 FCL ownership until paid customs validates against Wales Tradelinks, Reliable Exim, DHN, SBC, Castleglen, Yuen's and fresh-produce/peeled-garlic processors."
Spain,20,46813.91,Tier 1,Big Garlic S.L. / Business International Garlic S.L.,1,"fresh garlic; HS 070320 garlic; Spanish garlic; imported garlic",importer/exporter/distributor/packer,https://www.big-garlic.com/en/,+34 965 433 127,info@big-garlic.com,,"Main office: C/ Julio Verne, Parcela 83, P.I. Horado Blanco, 16660 Las Pedroneras, Cuenca, Spain; office: C/ Camino de los Magros 76, 03206 Elche, Alicante, Spain",https://www.big-garlic.com/en/,official website + public trade database,"Official Big Garlic pages identify Business International Garlic S.L. as specialized in production, handling and international commercialization of garlic, with worldwide distribution, continuous supply across five continents, private-label packaging flexibility, quality certifications and direct Las Pedroneras/Elche phone and email. The official garlic page lists five garlic varieties plus black garlic. Trademo public data identifies Big Garlic S.L. as a Spain fresh-garlic buyer and shows HS 070320 import/export activity, including 28,000 kg buyer-side garlic shipments in May 2025 and HS 070320 as 100% of visible imports. Promoted to Spain rank 1 because it is a stronger contact-ready import/export-distribution route than the prior producer/exporter-only top lead; use paid customs to confirm current HS 070320 beneficial ownership before FCL quoting."
Israel,21,44444.17,Tier 2,OOO BODEANU CO,1,"fresh garlic; garlic; HS 070320 validation",shipment-backed fresh-garlic importer/paid-customs target,,,,,,https://www.volza.com/p/garlic/buyers/buyers-in-israel/,public trade database,"Volza's Israel garlic buyers page dated 30-Jul-2025 lists 5 active Israel garlic importers across 26 shipments and identifies OOO BODEANU CO as the largest Israel garlic buyer with 4 garlic shipments. The public page exposes recent 20-Sep-2023 and 09-Sep-2023 shipment dates for OOO BODEANU CO, and search-result snippets from the same Volza page show fresh-garlic consignments of 20,000 kg and 19,000 kg into Israel. No official website, address, phone, email or procurement contact was publicly verified, so this is a paid-customs FCL ownership target rather than a direct first-email lead. URI FOOD 18 remains Israel's cleanest official contact-ready fresh-produce/garlic importer route at database rank 2."
Singapore,22,42731.83,Tier 2,CHOP WENG HOI,1,"fresh garlic; garlic fresh; HS 070320 validation",shipment-backed fresh-garlic importer/paid-customs target,,,,,"345 Bukit Batok Street 34 #04-274, Singapore 650345",https://www.volza.com/p/fresh-garlic/buyers/buyers-in-singapore/,public trade database + company registry,"Volza's Singapore fresh-garlic page lists CHOP WENG HOI as the leading fresh-garlic importer with 647 shipments, 26% share and recent 40 kg GARLIC FRESH entries dated 28-Jun-2025. SGPBusiness validates CHOP WENG HOI as a live ACRA-registered partnership with UEN 53217598X, registered 27-Jun-2012, principal activity wholesale of fruits and vegetables including fresh and frozen, and the Bukit Batok registered address. No official website, email, phone or procurement contact was publicly verified, so use paid customs before outreach. Defu Foodstuff remains the best official contact-ready peeled refrigerated garlic specialist at database rank 8."
Philippines,23,37956.57,Tier 2,JN Riqueza,1,"fresh garlic; HS 070320; fresh/chilled garlic; fresh vegetables",shipment-backed fresh-garlic importer/paid-customs target,,,,,"Unit 301, 1-3F Myers Bldg, R.S. Oca cor. A.C. Delgado Sts., Port Area, Manila, Philippines",https://www.trademo.com/companies/jn-riqueza/32583514,public trade database,"Trademo's Philippines fresh-garlic buyer table ranks JN Riqueza first with 996 fresh-garlic shipments and the generic garlic table lists 1,124 garlic shipments. Trademo's company profile shows 1,584 imports, USD 34.52M buyer trade value and HS 070320 Garlic as the largest visible import HS code at USD 16.2M / 64.27%, with China, Indonesia, Myanmar and India sourcing. Trademo supplier pages expose 55,000 kg HS 070320 fresh-garlic shipments from Jinxiang Qiuyuan to JN Riqueza in March 2025. Volza's Philippines garlic page lists JN Riqueza with 922 garlic shipments and 22% share, and the HS 0703209000 view lists it with 920 fresh garlic entries. No official website, phone, email or procurement contact was publicly verified, so use paid customs before outreach. Hordex remains the best contact-ready official route for processed/dehydrated garlic ingredients, not the top fresh whole-garlic shipment owner."
Oman,24,33738.98,Tier 2,LuLu Muscat Hypermarket LLC,1,"fresh garlic; fresh whole garlic; peeled garlic; frozen peeled garlic; shallots",retailer/importer/hypermarket,https://gcc.luluhypermarket.com/en-om/,+968 80088488,,,"P.O. Box 436, PC 130 Y Tower, Al Khuwair, Sultanate of Oman",https://www.volza.com/p/fresh-garlic/buyers/buyers-in-oman/,official website + public trade database,"Volza's Oman fresh-garlic buyer pages identify LULU MUSCAT HYPERMARKET LLC as the dominant visible fresh-garlic importer: the August 2025 view shows 752 fresh-garlic import shipments, 82,316 total import shipments, 3 suppliers and 2 source countries, while the Dec 2025 garlic-fresh view shows 416 garlic-fresh shipments and 97% of Oman's visible garlic-fresh demand. Volza's broader garlic page lists LuLu Muscat with 832 garlic shipments, and Trademo's LuLu Muscat profile shows 44,912 import shipments and USD 76.69M buyer trade value. Official LuLu Oman product pages list China-origin fresh garlic, India garlic, family-pack garlic, peeled garlic and frozen peeled garlic, with official customer-service contact. Promoted to Oman rank 1 as the strongest public fresh-garlic FCL buyer signal; paid customs should identify the produce procurement desk before quoting."
Poland,25,30604.73,Tier 2,Greenset Mateusz Blaszczyk,1,"garlic; garlic fresh; fresh and frozen vegetables; imported vegetables",shipment-backed importer/packer/distributor,https://greenset.com.pl/,+48 536 097 261 / orders +48 500 202 111 / sales +48 694 853 008,biuro@greenset.com.pl; zamowienia@greenset.com.pl; mateusz.blaszczyk@greenset.com.pl,Mateusz Blaszczyk,"Dryganek Duzy 20, 98-358 Kielczyglow, Poland",https://greenset.com.pl/kontakt/,official website + public trade database,"Volza's Poland garlic page lists GREENSET MATEUSZ BLASZCZYK as Poland's leading visible garlic buyer with 26 garlic import shipments, 38% share and recent 21,000 kg garlic entries in Feb 2024. Volza's Poland garlic-fresh page separately lists Greenset Mateush Blashchyk among the top three garlic-fresh buyers with 3 shipments and 16% share, and the fresh-garlic-bulb page lists Greenset among the top three bulb buyers with 2 shipments / 18% share. Official Greenset pages say the company imports, packs and delivers fresh and frozen vegetables and fruits with its own logistics facilities; the offer page lists garlic in vegetables; the contact page publishes company, orders, sales and management emails/phones plus the Dryganek Duzy address. Promoted to Poland rank 1 because it combines the strongest public garlic-shipment signal with official importer/packer/distributor contacts. Markie-Pol and TopVeg remain strong official garlic-specialist routes at database ranks 2-3."
Thailand,26,29729.93,Tier 2,Marhaban Co. Ltd.,1,"fresh garlic; HSN 0703 alliums; fresh/chilled garlic",fresh-garlic importer/paid-customs FCL target,,,,,"Bangkok, Thailand",https://www.volza.com/p/fresh-garlic/buyers/buyers-in-thailand/,public trade database,"Volza's Thailand fresh-garlic buyer page ranks Marhaban first with 133 fresh-garlic import shipments and 33% share and shows recent 14,000 kg fresh/chilled garlic shipments on Jan. 28, 2025. Volza's company profile separately shows Marhaban as a Bangkok importer with 3,073 imports and HSN 0703/0710/0902 product coverage. No official website, phone or email was verified, so treat this as the best public fresh whole-garlic FCL ownership target requiring paid-customs confirmation before outreach."
India,27,28566.37,Tier 2,Ever Green Fruits,1,"fresh garlic; HS 070320 garlic; fresh produce; imported fruits and vegetables",fresh-produce importer/wholesaler/distributor/B2B supplier,https://evergreenfruits.in/,+91-9717680005 / +91-9958375000 / +91-9711115517,info@evergreenfruits.in,,"C-113, Basement, New Fruit Market, Azadpur, Delhi-33, India",https://evergreenfruits.in/contact.php,official website + public trade database,"Official Ever Green Fruits pages identify the company as an Azadpur, Delhi B2B fresh-fruit/fresh-produce supplier with worldwide grower network, year-round premium produce supply, quality-control process, grocery retailer/restaurant/catering-service customers, three public phone lines and info email. Official product page is fruit-focused and does not itself list garlic; garlic strength comes from public Trademo India garlic buyer data showing Ever Green Fruits at 114 garlic shipments and the Trademo company profile showing 810 import shipments, USD 18.79M buyer trade value, HS 070320 garlic at USD 5.09M / 13.95% of listed imports, and top sourcing from Afghanistan, Egypt, South Africa, Chile and Vietnam. Use as India's best contact-ready public garlic-import signal, with paid customs required to reconcile actual fresh-garlic container ownership and procurement desk before quoting FCL volumes."
