country,rank_in_country,company_name,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Indonesia,11,PT Sinergi Multi Lestarindo Tbk,garlic powder,ingredient importer/distributor,https://ptsml.id/,+62 21 3006 7971,info@ptsml.id,,"Business Park Kebon Jeruk Blok I 3-6, Jl. Meruya Ilir Kav.88, Meruya Utara, Jakarta Barat 11620, Indonesia",https://ptsml.id/en/contact,official website,Official site lists garlic powder and toasted garlic powder in its food-ingredient range and publishes direct Jakarta and Surabaya customer support contacts
Indonesia,12,AGM Fresh Mart,fresh garlic,importer/distributor/wholesaler/retailer,https://www.agmfreshmart.com/,0852-6523-5996,agmfreshmart@gmail.com,,"Jl. Pd. Sedati Asri Blk. R No.17 A, Tani Tambak, Pepe, Kec. Sedati, Kabupaten Sidoarjo, Jawa Timur 61253, Indonesia",https://www.agmfreshmart.com/p/kontak.html,official website,"Official site describes AGM Fresh Mart as a distributor, importer, wholesaler, and retailer of bawang putih in Sidoarjo."
Indonesia,13,PT. Karunia Agung Perkasa,garlic powder,importer/processor/supplier,https://karuniaagungperkasa.com/,"(021) 39721088, (021) 39721089",info@karuniaagungperkasa.com,,"Rukan Beach Boulevard Blok G no 11 & 12, Kamal Muara, Penjaringan, Jakarta Utara 14470, Indonesia",https://karuniaagungperkasa.com/hubungi-kami/,official website,"Official site calls the company a producer, supplier, and importer of garlic powder and agricultural products."
Indonesia,20,BALIC,black garlic,processor/supplier,https://balic.id/,082 262863097,admin@balic.id,,"Jl Sarimanah Raya No. 94, Sarijadi, Bandung, Jawa Barat 40151, Indonesia",https://balic.id/about.html,official website,Official site says Balic produces natural single-clove black garlic and markets it as a supplier brand.
Indonesia,15,Spices Indo Global (PT Indo Global Eksportama),dried garlic,exporter/supplier,https://spices-indo.com/,+62 877-7991-2684,sales@spices-indo.com,,"Ruko Maggiore Block I, No. 3 Springs Boulevard Gading Serpong, Tangerang Regency, Banten 15332, Indonesia",https://spices-indo.com/,official website,"Official site lists dried garlic for food processors, restaurants, and industrial buyers and publishes exporter contact details."
Indonesia,16,Bawang Lanang Tunggal,single-clove garlic,supplier/distributor,https://bawangtunggal.com/,+62 896-5694-4840,,,"Jawa Tengah, Indonesia",https://bawangtunggal.com/,official website,Official site offers B2B pricing for herbal producers and distributors of premium bawang putih tunggal.
Indonesia,3,Duniabumbu,fresh garlic; peeled garlic; garlic powder,distributor/wholesaler/foodservice supplier,https://www.duniabumbu.com/,081296077988 / 021 87790397,rudi@duniabumbu.com,,"Pasar Induk Kramatjati, Los Bumbu, Jakarta Timur; Office: Pasar Obor Jaya Cijantung Block E No 5, Pasar Rebo, Jakarta Timur, Indonesia",https://bawang.duniabumbu.com/bawang-putih/,official website,"Official garlic page lists original unpeeled garlic in 20 kg and 10 kg packs, peeled garlic in 20 kg and 10 kg packs, wet-ground garlic and garlic powder; it says the business supplies restaurants, hotels, catering, canteens, restaurants, kiosks and households from Jakarta and publishes phone and email. Strong fresh whole and peeled refrigerated route, but less direct-import evidence than Total Harvest or Fajar."
Indonesia,17,PT Cahaya Niaga Indah,"fresh garlic; HS 070320 garlic",public shipment-backed importer/distributor/wholesaler,,,,,"Pasar Kramat Jati D.2 Nomor KM. 17, Kelurahan Tengah, Kecamatan Kramat Jati, Jl. Raya Bogor No.31, RT.9/RW.7, Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13510, Indonesia",https://www.trademo.com/indonesia/buyers/fresh-garlic,public trade database/customs directory,"Public Trademo Indonesia fresh-garlic buyer table ranks PT Cahaya Niaga Indah first with 76 visible fresh-garlic shipments. NBD's public trader page separately lists PT Cahaya Niaga Indah as an Indonesia importer under HS 07032090 and shows the Kramat Jati Jakarta address. No official website, phone, email or procurement contact was verified in this pass, so treat as Indonesia's top paid-customs FCL ownership target rather than a clean contact-ready lead."
Indonesia,18,PT Andalan Alam Pertiwi,"fresh garlic; garlic import profile",public shipment-backed importer/distributor,,,,,"Ruko Enggano Megah Blok B No. 7A, Jalan Enggano Raya, Indonesia",https://www.trademo.com/indonesia/buyers/fresh-garlic,public trade database/company registry,"Public Trademo Indonesia fresh-garlic buyer table ranks PT Andalan Alam Pertiwi third with 68 visible fresh-garlic shipments, while the public company profile/search result describes Andalan as primarily importing garlic and fresh garlic with China and Brazil as sourcing countries. Public company-registry pages list an Enggano Raya address, but no official website, phone, email or procurement contact was verified in this pass. Use paid customs to confirm current HS 070320 volume, supplier origins and beneficial ownership before outreach."
Indonesia,19,PT MAGFOOD Inovasi Pangan,garlic powder,processor/manufacturer/distributor,https://www.magfood.com/en/,+62 811 1397 161,cs@magfood.com,Endah,"Jl. Duren Tiga Raya No. 46, Pancoran, South Jakarta 12760, Indonesia",https://www.magfood.com/en/products/seasoning-powder/etc/magfood-garlic-powder-500-gram/,official website,Official garlic-powder page lists direct order contact Endah and South Jakarta headquarters details for PT MAGFOOD Inovasi Pangan.
United States,1,Maurice A Auerbach Inc,"fresh garlic; bulk garlic; peeled garlic; imported peeled garlic; packaged garlic",importer/distributor/packer,https://www.auerpak.com/,201-807-9292,jvenables@auerpak.com,John Venables,"117 Seaview Drive, Secaucus, NJ 07094, USA",https://www.auerpak.com/our-products/garlic-products/,official website,"Official AuerPak garlic-products page lists bagged garlic, bulk garlic sourced domestically and from imported growing regions, California peeled garlic, imported peeled garlic, packaged garlic, elephant garlic and garlic braids. Official contact page publishes Maurice A. Auerbach Inc. at 117 Seaview Drive, Secaucus with phone and John Venables email/contact details, while public produce-trade coverage describes Maurice Auerbach as a major Northeast garlic and specialty-produce distributor. This replaces the weaker trade-directory-only source while preserving the fresh garlic and FCL fit."
United States,2,Best Buy Produce International Inc,fresh garlic; peeled garlic,importer/wholesaler,https://www.bestbuyproduce.com/,323-262-8888,jerry@bestbuyproduce.com,,"9620 Gidley Street, Temple City, CA 91780, USA",https://www.bestbuyproduce.com/,official website,Wholesale root vegetable specialist with garlic focus
United States,3,Trucco Inc,fresh garlic,importer/distributor,https://truccodirect.com/,856-263-6000,sales@truccodirect.com,,"2440 N Mill Rd, Vineland, NJ 08360, USA",https://truccodirect.com/contact/,official website,Large produce importer with direct sales office
United States,4,Christopher Ranch Garlic LLC,fresh garlic; peeled garlic; value-added garlic,grower/processor,https://www.christopherranch.com/,408-612-2165,rick@christopherranch.com,Rick Dyer,"305 Bloomfield Ave, Gilroy, CA 95020, USA",https://www.foodmaster.com/directories/72-food-ingredients/listing/11393-christopher-ranch-garlic-llc,directory,North America garlic leader
United States,5,Global Farms Enterprises Inc,garlic ingredients; peeled garlic,importer/processor,https://www.global-farms.com/,323-415-6000,info@global-farms.com,Zia Fattahi,"633 S Mission Rd, Los Angeles, CA 90023, USA",https://www.allbiz.com/business/global-farms-enterprises-inc_1Y-323-415-6000,directory,Strong garlic ingredient focus
United States,6,Fresh Garlic & Produce Corp,fresh garlic,importer/distributor,https://thefreshlyfoods.com/,786-671-9858,,Pablo Musa,"3625 NW 82nd Ave, Miami, FL 33166, USA",https://www.buzzfile.com/business/Grower-and-Importer-786-671-9858,directory,US-based garlic production and distribution operation
United States,7,Diamantra Inc,garlic,importer/trader,https://www.diamantra.com/,512-535-5333,austin@diamantra.com,,"3303 Northland Drive Suite 203, Austin, TX 78731, USA",https://www.diamantra.com/,official website,Multi-office importer with U.S. buying footprint
United States,8,L A Garlic & Spice Inc,garlic,specialty wholesaler,,213-623-6022,,,"1340 E Olympic Blvd, Los Angeles, CA 90021, USA",https://www.cylex.us.com/company/l-a-garlic---spice-inc-30506435.html,directory,Specialty garlic/spice trade account
United States,9,The Garlic Company,peeled garlic; frozen garlic,grower/processor,https://thegarliccompany.com/,661-393-4212,,,"18602 Zerker Rd, Shafter, CA 93263, USA",https://thegarliccompany.com/contact-us/,official website,Official site positions the company as a leading supplier of peeled California garlic with fresh frozen and shelf-stable product forms
United States,10,Mele Garlic Farms,fresh garlic; garlic powder,grower/supplier,https://www.melegarlicfarms.com/,(585) 638-8591 / (585) 738-8591,melegarlicfarms@gmail.com,,"16132 Lynch Road, Holley, NY 14470, USA",https://www.melegarlicfarms.com/,official website,Official farm site markets fresh garlic garlic powder and direct wholesale-style ordering
United States,11,Garland Food LLC,fresh garlic; ready-to-use garlic,importer/distributor/processor,https://garlandfood.net/,(305) 636 1607,moreinfo@garlandfood.net,,"3330 NW 60 Street, Miami, FL 33142, USA",https://garlandfood.net/,official website,"Official site says Garland is one of the largest garlic suppliers in the USA, serves retail foodservice and ingredients channels, and lists direct Miami contact details"
United States,12,SUN UNION Inc,fresh garlic; peeled garlic,importer/wholesaler,https://www.usgarlicimporter.com/,714-653-0333,USGarlicImporter@gmail.com,,"8907 Warner Ave #224, Huntington Beach, CA 92647, USA",https://www.usgarlicimporter.com/contact,official website,Official site positions Sun Union as a premier U.S. garlic importer and says it imports fresh and peeled garlic for distributors and wholesalers nationwide
United States,13,FOOD N SEED USA INC,fresh peeled garlic,importer/distributor,https://www.fnsus.com/,+1 (562) 452-0779,info@fnsus.com,,"1211 Wholesale St., Los Angeles, CA 90021, USA",https://www.fnsus.com/store/p/fresh-peeled-garlic,official website,Official product page lists fresh peeled garlic and the company site publishes direct Los Angeles wholesale contact details
United States,14,"DONGSHENG FOODS USA, INC.",IQF garlic; dehydrated garlic; frozen garlic puree,ingredient importer/distributor/processor,https://dongshengfoodsusa.com/,408.738.5724,info@dongshengfoodsusa.com,,"355 West Olive Avenue, Suite 206, Sunnyvale, California 94086, USA",https://dongshengfoodsusa.com/,official website,"Official site says Dongsheng supplies IQF garlic, dehydrated garlic, and frozen garlic puree to food and seasoning manufacturers and lists direct corporate contact details"
United States,15,Kabusha Corp,peeled garlic,importer/distributor,https://kabushacorp.com/,+1 (786) 350-1560,info@kabushacorp.com,,"20900 NE 30th Ave Ste 842, Aventura, Florida 33180, United States",https://kabushacorp.com/peeled-garlic-2/,official website,"Official peeled garlic page lists multiple peeled garlic presentations with direct U.S. phone, email, and address."
United States,16,Melissa's Produce,peeled garlic,foodservice distributor,https://www.melissas.com/,323-584-4940 / 800-468-7111,,,,https://www.melissas.com/products/peeled-garlic,official website,Official peeled garlic product page lists dedicated foodservice and produce manager phone lines for refrigerated peeled garlic.
United States,17,Sunny Fields Foods,fresh garlic; peeled garlic,processor/distributor,https://sunnyfieldsfoods.com/,(786) 254-7877,info@rabbexllc.com,,"680 W 18th St, Hialeah, FL 33010, USA",https://sunnyfieldsfoods.com/wp-content/uploads/2023/09/Garlic.pdf,official website/pdf,Official product sheet lists fresh and peeled garlic pack formats and publishes Hialeah warehouse contact details.
United States,18,BeGarlic,peeled garlic; loose garlic; mesh garlic,importer/distributor,https://begarlic.us/,+1 (786) 590-6103,info@begarlic.us,,"Miami, FL; Plant City, FL; Pennsauken, NJ, USA",https://begarlic.us/,official website,"Official site markets peeled, loose, and mesh garlic and lists U.S. facilities plus direct sales phone and email."
United States,19,Thai Food Depot Maryland Inc.,peeled garlic,wholesaler/foodservice supplier,https://www.thaifooddepot.com/,(202) 544-2970 / (202) 297-7344,Thaifooddepotmd@gmail.com,,"5337 46th Ave, Hyattsville, MD 20781, USA",https://www.thaifooddepot.com/product-page/peeled-garlic,official website,Official peeled-garlic product page sells by case or unit and publishes Hyattsville wholesale contact details.
United States,20,"Obis One, LLC",black garlic; organic peeled black garlic cloves,processor/manufacturer/wholesaler,https://www.obisone.com/,302-358-5281,info@obisone.com,,"101 W. 10th Street, Suite 1207, Wilmington, DE 19801, USA",https://www.obisone.com/,official website,Official site says Obis One is the largest organic black garlic artisanal producer in North America and lists peeled black garlic products with direct Wilmington contact details.
Malaysia,21,Lulu Group Retail Sdn Bhd,garlic and grocery retail,importer/retailer,https://www.luluhypermarket.com/,603-9281-9999,rusnibm@my.lulumea.com,Rusni bin Mat Zin,"Lot 159, Persiaran CapSquare, Jalan Munshi Abdullah, 50100 Kuala Lumpur, Malaysia",https://mra.com.my/jobs/lulu-group-retail-sdn-bhd/,public listing,"Legacy Malaysia retail/importer row retained as a paid-data reconciliation target because Trademo fresh-garlic data lists Lulu with visible shipments, but the local contact source is only a public recruitment listing and public 2025 reporting says Malaysia retail operations closed while wholesale remains."
Malaysia,1,Ken Hin Food Industries Sdn Bhd,"fresh garlic; peeled refrigerated garlic; pure white garlic; black garlic; HS 070320",importer/wholesaler/trader/processor/distributor,https://kenhinfood.com.my/,+60 3-6144 6680,general@kenhinfood.com.my,,,https://kenhinfood.com.my/,official website + public trade database,"Official Ken Hin pages describe the company as one of Malaysia's largest importers, wholesalers and traders of culinary products including garlic, onion, potatoes and ginger, and one of Malaysia's largest suppliers of garlic cloves. Official pages say Ken Hin supplies millions of garlic cloves weekly to higher-end supermarkets, hotels, restaurants and wholesale catering outlets, and list peeled garlic stored in freezer or refrigerator in 200g/500g/800g/1kg packs, pure white garlic and black garlic. Volza Malaysia fresh-garlic data lists Ken Hin as the third fresh-garlic importer with 160 shipments, 378 total import shipments, 15 suppliers and sample 87,000 kg / 58,000 kg fresh normal white garlic imports in Nov 2024. Strongest current Malaysia FCL route for peeled/fresh validation; paid customs should confirm beneficial HS 070320 importer ownership and procurement desk before quoting."
Malaysia,2,Keongco Malaysia Sdn Bhd,fresh garlic; China garlic; India garlic,importer/wholesaler/distributor,https://keongco.com.my/,+60 3-3134 3388,trade@keongco.com.my,,"Lot 8290, Jalan Besar, Telok Gong, 42000 Port Klang, Selangor Darul Ehsan, Malaysia",https://keongco.com.my/contact/,official website + public trade database caveat,"Official Keongco pages say Keongco is one of Malaysia's largest culinary-food importers and wholesalers, with principal activities in importing, wholesaling, trading and exporting garlic, onions, shallots, potatoes, dried chilies, pulses, groundnuts and spices. Official pages list China Garlic and India Garlic, suppliers access to distribution centers, retailer access to an established national distribution network, Port Klang head-office phone/email, Kota Bharu branch and warehouse/cold-storage services. Public Trademo Malaysia fresh-garlic data lists Keongco with only 1 visible shipment, while Volza's higher-volume Malaysia fresh-garlic table points to Khai Yo, Yong Ga, Ken Hin, Sinogun and Poo Trading. Keep Keongco as a clean official outreach route, but not Malaysia's shipment-readiness top lead until paid customs validates stronger HS 070320 volume."
Malaysia,4,LKF Trading Sdn Bhd,fresh garlic; peeled garlic; garlic slice,wholesaler/importer/distributor,https://lkftrad.n.my/,+60 5-362 1821 / +60 16-413 9763,lkfsdnbhd@gmail.com,,"3A & 5, Persiaran BG Perdana 9, Pusat Komersial BG Perdana, 31000 Batu Gajah, Perak, Malaysia",https://lkftrad.n.my/index.php?cat=Fresh-Potato&cid=319304&lang=en&ws=ourproducts,official website,Official site lists fresh garlic peeled garlic and garlic slice among imported products and shows direct phone and email
Malaysia,5,ASY Enterprise (M) Sdn Bhd,fresh garlic; peeled garlic,wholesaler/distributor,https://asyent.com.my/,06-3350807 / 011-2112 0807,admin@asy22.com,,"16 & 18, Jalan Pandan Indah 1, Taman Pandan Indah, 75250 Melaka, Malaysia",https://asyent.com.my/contact/,official website,Official site lists wholesale garlic and peeled garlic and publishes direct office and farm contact details
Malaysia,6,Plantie Group (Poo Trading Import & Export Sdn Bhd),garlic; peeled garlic,importer/distributor/processor,https://www.plantie.com.my/,604-502 2002,,,Plot 128 Jalan Perindustrian Bukit Minyak 7 Kawasan Perindustrian Bukit Minyak 14000 Bukit Mertajam Pulau Pinang Malaysia,https://www.plantie.com.my/contact-us/,official website,Official produce wholesaler serving retail and F&B channels with garlic in its product range
Malaysia,7,Heap Lee Chan Trading Company Sdn. Bhd.,fresh garlic,importer/distributor/wholesaler,https://www.heapleechan.com/,604-5392600,,MR NG CHUN SHEN,"No. 395, MK 6, Simpang Empat, 14000 Penang, Malaysia",https://www.heapleechan.com/contact-us,official website,Official site lists garlic among its fresh food import/export products
Malaysia,8,Green Growers Ventures Sdn. Bhd.,peeled garlic,distributor/foodservice supplier,https://ggv.com.my/,+60 (03) 6150 2259,sales@ggv.com.my,,"3 Jalan TSB 6, Taman Industri Sungai Buloh, 47810 Petaling Jaya, Selangor, Malaysia",https://ggv.com.my/condiments/,official website,Official condiments page lists peeled garlic in the company chilled fresh produce distribution range and publishes direct sales contact details
Malaysia,9,Nature Farm Enterprise Sdn Bhd,peeled garlic,importer/distributor/foodservice supplier,https://naturefarm.com.my/,+603 8959 0036 / +6012 227 6930,enquiry@naturefarm.com.my,Sat Wei Ping,"No.11, Jalan BS 7/1C, Seksyen 7, Taman Perindustrian Bukit Serdang, 43300 Seri Kembangan, Selangor Darul Ehsan, Malaysia",https://naturefarm.com.my/,official website,Official site supplies hotels restaurants cafes and supermarkets nationwide and lists garlic peeled among its bulb products
Malaysia,10,AAA Golden Taste Food Sdn Bhd,fried garlic; frozen garlic,processor/manufacturer/distributor,https://www.goldentaste.com.my/,+6012-289 3468,goldentaste9228@gmail.com,,"No: 35, 36 & 37, Jalan Velox 1, Taman Velox, 48000 Rawang, Selangor Darul Ehsan, Malaysia",https://www.goldentaste.com.my/,official website,"Official site says AAA Golden Taste produces and supplies fried garlic and can offer fresh, frozen, and shelf-stable garlic formats"
Malaysia,11,Like Best (M) Sdn Bhd,peeled garlic,wholesaler/retailer,https://likebest.com.my/,+603-8066 9763,info@likebest.com.my,,"No. 2A-2, Aras 2, Jalan Putra Impiana 1, Taman Putra Impiana, 47100 Puchong, Selangor DE., Malaysia",https://likebest.com.my/grocery/garlic-bawang-putih/garlic-peeled/,official website,"Official peeled-garlic page lists fresh origin options and wholesale pricing, and the same page publishes direct sales phone email and Puchong office details"
Malaysia,12,Trendcell Sdn. Bhd. (Jaya Grocer),peeled garlic,retailer,https://www.jayagrocer.com/,1300-88-5427,customer@jayagrocer.com,,"B-G-17 & B-G-19, Jalan PJS 2B/4, Pusat Perniagaan Metro, 46150 Petaling Jaya, Selangor, Malaysia",https://jgsj.jayagrocer.com/products/peeled-garlic-china-200g-1,official website,Official Jaya Grocer product page lists peeled garlic in the fresh-market range and its footer publishes Trendcell Sdn. Bhd. contact details
Malaysia,13,Wmart,frozen peeled garlic,retailer/foodservice buyer,https://www.wmart.com.my/,+603-9222 2811,sales@wmart.com.my,,"No.9, Jalan Dua, Off Jalan Chan Sow Lin, 55200 Kuala Lumpur, Malaysia",https://www.wmart.com.my/contact-us/,official website,"Official Wmart contact page publishes Kuala Lumpur sales details, and the official frozen peeled garlic page says restaurants and food businesses buy its wholesale cartons"
Malaysia,14,Eco Fresh Meat Distributor Sdn. Bhd. (My Butcher Market),peeled garlic,retailer/foodservice buyer,https://www.mybutchermarket.com/,(+6) 012-4511982 / (+6) 016-5594038,,,"No.7259, Lorong Chempa, Kampung Paya, 12200, Butterworth, Penang, Malaysia",https://www.mybutchermarket.com/index.php?product_id=626&route=product%2Fproduct,official website,Official My Butcher Market peeled-garlic page lists a 1kg ready-to-use pack and publishes direct Butterworth store phone numbers and location
Malaysia,15,Mesra Agro Herb,black garlic peeled pack,processor/retailer/distributor,https://www.blackgarlic.my/,605-7733333,,,"No. 137-139, Persiaran Prima 23, Kuala Kangsar Prima, 33010 Kuala Kangsar, Perak, Malaysia",https://www.blackgarlic.my/,official website,Official site features Black Garlic Peeled Pack 200g and the contact page lists Mesra Agro Herb direct phone and address in Perak.
Malaysia,16,Chin Woh,peeled garlic; fresh garlic,wholesaler/foodservice supplier,https://www.chinwoh.com/,016-5360015 / 016-5343125,chinwoh09@gmail.com,,"Lot 137220, Hala Perusahaan Menglembu 20, Kawasan Perusahaan Menglembu, 31450 Menglembu, Perak, Malaysia",https://www.chinwoh.com/product/peeled-white-garlic-bawang-putih-tanpa-kulit/,official website,"Official peeled-white-garlic page positions Chin Woh as a wholesale supplier for restaurants and foodservice buyers in Ipoh, Perak."
Malaysia,17,Kalyar Maju Sdn Bhd,fresh garlic,importer/exporter/distributor,https://kalyarmaju.com/,+60320224111,,Muhammad Idrees,"No. 2, Unit 6-05 Level 6, Menara Pacific Place, Leboh Ampang, 50450 Kuala Lumpur, Malaysia",https://kalyarmaju.com/,official website,Food importer-distributor listing garlic under vegetables; public team page names Muhammad Idrees as CEO and founder.
Malaysia,18,NSK Trade City Sdn Bhd,fresh garlic,retailer/wholesaler,https://www.nsktrade.com/nsk5/,03-6120 7481/84/86,,,"Lot 4674 & 4675, Wisma Yap Tieh, Selayang Batu 8, Jalan Ipoh, 68100 Selangor Darul Ehsan, Malaysia",https://www.trademo.com/malaysia/buyers/fresh-garlic,public buyer page + official website,Large Malaysian retail-wholesale chain; official site lists Selayang HQ and branch contacts.
Malaysia,19,Green Fusion Sdn. Bhd.,fresh garlic,supplier/distributor,https://greenfusion.com.my/,,,,,https://greenfusion.com.my/product/garlic/,official website,Official garlic product page identifies Green Fusion as a Malaysia fruits and vegetables supplier and provides a direct enquiry form for garlic supply.
Malaysia,20,Maxco Food Industries Sdn Bhd,peeled garlic,processor/distributor,https://www.maxco.com.my/,+6013-722 7018,info@maxco.com.my,,"PTD 6645, JLN AYER HITAM-MACHAP, MACHAP 86200 SIMPANG RENGAM, JOHOR, Malaysia.",https://www.maxco.com.my/usr/mobile/productmb.aspx?grpid=18&id=57&lang=en&pgid=5,official website,Official peeled-garlic product page publishes the Johor headquarters contact details and positions Maxco as a processing-vegetables supplier.
Malaysia,3,Khai Yo Trading (M) Sdn Bhd,"fresh garlic; HS 070320 fresh garlic; foodstuff import/export",public shipment-backed importer/trader,,,,,,https://www.volza.com/p/fresh-garlic/buyers/buyers-in-malaysia/,public trade database + public business listing,"Volza Malaysia fresh-garlic data identifies Khai Yo Trading (M) Sdn Bhd as the leading visible fresh-garlic importer with 211 shipments, 699 total import shipments, 8 suppliers and sample 116,000 kg and 87,000 kg fresh-garlic imports in Nov 2024. Public CTOS/Maukerja business pages describe Khai Yo Trading (M) Sdn Bhd as a Selangor trading business registered in 2002 with agricultural and foodstuff import/export trading activity. No official website, direct phone, email, address or procurement contact was verified in this pass, so treat as a paid-customs FCL ownership target rather than a contact-ready outreach row."
